devicekey,devicename,description,ipaddress,macaddress,inputerrors,outputerrors,speed,ipv6address,duplex,fullduplex,interfacename,subnetmask,broadcastaddress,interfacestate,dhcpenabled,iplongvalue,snapshotid,operationalstatus,protocoltype,maxdatasize,porttype,manufacturer
2826,10.113.195.13,eth0,0,00:19:85:00:80:1F,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2828,10.113.195.42,eth0,0,00:19:85:E0:AD:6D,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2837,10.113.195.51,eth0,0,00:19:85:00:8F:1A,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2840,10.113.195.75,eth0,0,00:19:85:00:80:2F,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2841,10.113.195.63,eth0,0,00:19:85:00:80:15,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2845,10.113.195.79,eth0,0,00:19:85:00:80:2D,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2847,10.113.195.77,eth0,0,00:19:85:00:80:10,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2865,10.113.195.22,eth0,0,00:19:85:00:73:FC,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2870,10.113.195.26,eth0,0,00:19:85:00:80:26,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2874,10.113.195.34,eth0,0,00:19:85:00:72:B5,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2875,10.113.195.32,eth0,0,00:19:85:00:72:BB,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2883,10.113.195.62,eth0,0,00:19:85:00:80:2A,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
