vcserver,vmname,version,toolstatus,toolsversion,toolsrunningstatus
"vf-vcd-vc-01.vmware.com","1753455180-obiee-mkt-stg1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0345405902-ora-sls-sse-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1837556582-stg-ksmkdm-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0384814350-obie-mkt-prod2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1723476316-bi-bu-prd-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0475168930-bi-sls-prd-a1","v4","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0900624257-bi-sls-prd-a2","v4","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1185829865-bi-sls-prd-a3","v4","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","2020180741-inf-fbi-prd-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0825035968-bi-fbi-prd-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0032964418-bi-sls-sse-a1","v4","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0496762325-s2-prod-gsscm-2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0393339947-gss-pr-mysql-s1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1249081133-bi-fbi-lt-a2","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0145260231-ora-bu-prd-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0173162270-bi-fbi-prd-a2","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0809359541-icew-src-prd-d2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0121822221-dev-casemgmt","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1662112086-s2-lt-gsscm-2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1593176803-gss-lt-mysql-m2","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1119257064-s2-prod-gsscm-1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1294630129-obie-mkt-prod1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1915069489-bi-bkg-prd-a2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1448129021-icew-tgt-prd-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-view-vc.vmware.com","sc9-vf-view1-02-dsva","v7","toolsNotRunning","8290","guestToolsNotRunning"
"vf-view-vc.vmware.com","view-win7-templ","v7","toolsNotRunning","8295","guestToolsNotRunning"
"vf-view-vc.vmware.com","vmdd_DB-135-6","v7","toolsOk","2147483647","guestToolsRunning"
"vf-view-vc.vmware.com","Sc9-vf-view1-01-dsva","v7","toolsNotRunning","8290","guestToolsNotRunning"
"vf-view-vc.vmware.com","Win7-templ","v7","toolsNotRunning","8384","guestToolsNotRunning"
"vf-view-vc.vmware.com","devDB","v7","toolsOk","2147483647","guestToolsRunning"
"vf-view-vc.vmware.com","view-win7-template1","v7","toolsNotRunning","8295","guestToolsNotRunning"
"vf-view-vc.vmware.com","VF-L01-005","v7","toolsOk","8384","guestToolsRunning"
"vf-view-vc.vmware.com","VF-L01-012","v7","toolsOk","8384","guestToolsRunning"
"vf-view-vc.vmware.com","VF-L01-022","v7","toolsOk","8384","guestToolsRunning"
"vf-view-vc.vmware.com","VF-L01-004","v7","toolsOk","8384","guestToolsRunning"
