"timestamp","vcserver","cluster","vmhost","uuid","connectionstate","powerstate","vendor","model","memorysize","cpumodel","cpuhz","numcpupackages","numcpucores","numcputhreads","esxproductname","esxversion","esxbuild","serialnumber","biosversion"
"2011-11-21 02:06:11","lm-vc.vmware.com","wdc-labmanager1","wdc-labmanager1-1.vmware.com","34303530-3234-5553-4537-343537364c4d","connected","poweredOn","HP","ProLiant BL685c G1","68717699072","Dual-Core AMD Opteron(tm) Processor 8218","2612036583","4","8","8","VMware ESX","4.0.0","208167",,"A08"
"2011-11-21 02:06:11","lm-vc.vmware.com","wdc-labmanager1","wdc-labmanager1-4.vmware.com","58585858-5858-5553-4537-313533573239","connected","poweredOn","HP","ProLiant BL685c G1","68717699072","Dual-Core AMD Opteron(tm) Processor 8218","2612036583","4","8","8","VMware ESX","4.0.0","208167",,"A08"
"2011-11-21 02:06:11","lm-vc.vmware.com","wdc-labmanager1","wdc-labmanager1-3.vmware.com","58585858-5858-3348-3733-4d4b30363737","connected","poweredOn","HP","ProLiant BL685c G1","68717699072","Dual-Core AMD Opteron(tm) Processor 8218","2612036609","4","8","8","VMware ESX","4.0.0","208167",,"A08"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg2","view-vmg2-1.vmware.com","35313838-3738-5553-4530-343934543041","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199999338","4","48","48","VMware ESXi","5.0.0","504890","USE0494T0A","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg2","view-vmg2-2.vmware.com","35313838-3738-5553-4530-343934543042","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199999149","4","48","48","VMware ESXi","5.0.0","504890","USE0494T0B","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg2","view-vmg2-3.vmware.com","35313838-3738-5553-4530-343934543043","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199998903","4","48","48","VMware ESXi","5.0.0","504890","USE0494T0C","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg2","view-vmg2-4.vmware.com","35313838-3738-5553-4530-343934543038","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199998985","4","48","48","VMware ESXi","5.0.0","504890","USE0494T08","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg2","view-vmg2-5.vmware.com","35313838-3738-5553-4530-343934543039","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199998898","4","48","48","VMware ESXi","5.0.0","504890","USE0494T09","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg2","view-vmg2-6.vmware.com","35313838-3738-5553-4530-353235433436","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199999111","4","48","48","VMware ESXi","5.0.0","504890","USE0525C46","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg2","view-vmg2-8.vmware.com","35313838-3738-5553-4530-353235433438","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199998891","4","48","48","VMware ESXi","5.0.0","504890","USE0525C48","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg2","view-vmg2-7.vmware.com","35313838-3738-5553-4530-353235433437","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199999107","4","48","48","VMware ESXi","5.0.0","504890","USE0525C47","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg1","view-vmg1-5.vmware.com","35313838-3738-5553-4530-333831364639","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199999385","4","48","48","VMware ESXi","5.0.0","504890","USE03816F9","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg1","view-vmg1-6.vmware.com","35313838-3738-5553-4530-333831364634","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199999054","4","48","48","VMware ESXi","5.0.0","504890","USE03816F4","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg1","view-vmg1-4.vmware.com","35313838-3738-5553-4530-333831364636","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199999150","4","48","48","VMware ESXi","5.0.0","504890","USE03816F6","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg1","view-vmg1-7.vmware.com","35313838-3738-5553-4530-333831364642","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199999218","4","48","48","VMware ESXi","5.0.0","504890","USE03816FB","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg1","view-vmg1-8.vmware.com","35313838-3738-5553-4530-333831364635","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199999058","4","48","48","VMware ESXi","5.0.0","504890","USE03816F5","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg1","view-vmg1-1.vmware.com","35313838-3738-5553-4530-333831364632","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199998954","4","48","48","VMware ESXi","5.0.0","504890","USE03816F2","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg1","view-vmg1-2.vmware.com","35313838-3738-5553-4530-333831364633","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199999062","4","48","48","VMware ESXi","5.0.0","504890","USE03816F3","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","View-vmg1","view-vmg1-3.vmware.com","35313838-3738-5553-4530-333831364637","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199998993","4","48","48","VMware ESXi","5.0.0","504890","USE03816F74Y","A20"
"2011-11-21 02:06:17","vmview-vc-1.vmware.com","Temp",,,,,,,,,,,,,,,,,""
"2011-11-21 02:07:07","vc-dev-1.vmware.com","wdc-devtest2","wdc-devtest2-1.vmware.com","34303530-3234-5553-4537-313533573241","connected","poweredOn","HP","ProLiant BL685c G1","68717228032","Dual-Core AMD Opteron(tm) Processor 8218","2612036075","4","8","8","VMware ESXi","5.0.0","474610","USE7153W2A","A08"
"2011-11-21 02:07:07","vc-dev-1.vmware.com","wdc-devtest4","wdc-devtest4-1.vmware.com","35313838-3738-5553-4530-353135384545","connected","poweredOn","HP","ProLiant BL685c G7","274873352192","AMD Opteron(tm) Processor 6172","2099999087","4","48","48","VMware ESXi","5.0.0","474610",,"A20"
"2011-11-21 02:07:07","vc-dev-1.vmware.com","wdc-devtest4","wdc-devtest4-2.vmware.com","35313838-3738-5553-4530-353135384544","connected","poweredOn","HP","ProLiant BL685c G7","274873352192","AMD Opteron(tm) Processor 6172","2099999154","4","48","48","VMware ESXi","5.0.0","474610",,"A20"
"2011-11-21 02:07:07","vc-dev-1.vmware.com","wdc-devtest4","wdc-devtest4-3.vmware.com","35313838-3738-5553-4530-353135384548","connected","poweredOn","HP","ProLiant BL685c G7","274873352192","AMD Opteron(tm) Processor 6172","2099998930","4","48","48","VMware ESXi","5.0.0","474610",,"A20"
"2011-11-21 02:07:07","vc-dev-1.vmware.com","wdc-devtest4","wdc-devtest4-4.vmware.com","35313838-3738-5553-4530-353135384536","connected","poweredOn","HP","ProLiant BL685c G7","274873352192","AMD Opteron(tm) Processor 6172","2099999129","4","48","48","VMware ESXi","5.0.0","474610",,"A20"
"2011-11-21 02:07:07","vc-dev-1.vmware.com","wdc-devtest4","wdc-devtest4-5.vmware.com","35313838-3738-5553-4530-35313538454b","connected","poweredOn","HP","ProLiant BL685c G7","274873352192","AMD Opteron(tm) Processor 6172","2099999069","4","48","48","VMware ESXi","5.0.0","474610",,"A20"
