"vcserver","datacenter","vmhost","vmname","timestamp","username","eventmsg","tag","event_type"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg2-7.vmware.com","ODI-PRI-WINAGT2","2/5/2011 10:09:16 PM","VMWAREM\adm.vijayk","Removed ODI-PRI-WINAGT2 on osdc-vmg2-7.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg2-1.vmware.com","osdc-pri-app-1","2/5/2011 10:09:22 PM","VMWAREM\adm.vijayk","Removed osdc-pri-app-1 on osdc-vmg2-1.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-12.vmware.com","osdc-pri-app-2","2/5/2011 10:09:33 PM","VMWAREM\adm.vijayk","Removed osdc-pri-app-2 on osdc-vmg3-12.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg2-8.vmware.com","ora-prod-prietl-d1","2/5/2011 10:21:45 PM","VMWAREM\jdeglau","Removed ora-prod-prietl-d1 on osdc-vmg2-8.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-12.vmware.com","ora-prod-pri-db","2/5/2011 10:45:14 PM","VMWAREM\jdeglau","Removed ora-prod-pri-db on osdc-vmg3-12.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg2-2.vmware.com","ora-prod-pridm-d1","2/6/2011 1:09:01 AM","VMWAREM\jdeglau","Removed ora-prod-pridm-d1 on osdc-vmg2-2.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-1.vmware.com","pa-recovery01","2/6/2011 5:07:35 AM","VMWAREM\adm.acheung","Template pa-recovery01 deployed on host sc9-prod-vmg4-1.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-10.vmware.com","pa-recovery01","2/6/2011 10:52:35 AM","VMWAREM\adm.acheung","Removed pa-recovery01 on sc9-prod-vmg4-10.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-9.vmware.com","pa-recovery01","2/6/2011 11:26:40 AM","VMWAREM\adm.acheung","Template pa-recovery01 deployed on host sc9-prod-vmg4-9.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-9.vmware.com","osdc-test-route","2/7/2011 6:46:15 PM","VMWAREM\adm.shilton","Clone of osdc-test-route completed",,"VmClonedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-14.vmware.com","osdc-test-cifs","2/7/2011 7:27:36 PM","VMWAREM\adm.shilton","Template osdc-test-cifs deployed on host osdc-vmg3-14.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg1-6.vmware.com","ohs (web tools dev) - delete after 5-15-2010","2/7/2011 7:49:10 PM","VMWAREM\adm.mphilips","Removed ohs (web tools dev) - delete after 5-15-2010 on osdc-vmg1-6.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg1-2.vmware.com","osdc-zenoss-col-1","2/7/2011 9:28:04 PM","VMWAREM\adm.mtran","Removed osdc-zenoss-col-1 on osdc-vmg1-2.vmware.com from Palo Alto",,"VmRemovedEvent"
