ip,link_status,name,port_id,port_status,switch_present,wwnn,wwpn
10.128.205.21,Up,A,1,Online,YES,50:06:01:60:C1:E0:34:7F,50:06:01:61:41:E0:34:7F
10.128.205.21,Up,A,2,Online,YES,50:06:01:60:C1:E0:34:7F,50:06:01:62:41:E0:34:7F
10.128.205.21,Up,A,3,Online,YES,50:06:01:60:C1:E0:34:7F,50:06:01:63:41:E0:34:7F
10.128.205.21,Up,B,0,Online,YES,50:06:01:60:C1:E0:34:7F,50:06:01:68:41:E0:34:7F
10.128.205.21,Up,B,1,Online,YES,50:06:01:60:C1:E0:34:7F,50:06:01:69:41:E0:34:7F
10.128.205.21,Up,B,2,Online,YES,50:06:01:60:C1:E0:34:7F,50:06:01:6A:41:E0:34:7F
10.128.205.21,Up,B,3,Online,YES,50:06:01:60:C1:E0:34:7F,50:06:01:6B:41:E0:34:7F
10.128.205.73,Up,A,0,Online,YES,50:06:01:60:B9:A0:3D:2E,50:06:01:60:39:A0:3D:2E
10.128.205.73,Up,A,1,Online,YES,50:06:01:60:B9:A0:3D:2E,50:06:01:61:39:A0:3D:2E
10.128.205.73,Up,A,2,Online,YES,50:06:01:60:B9:A0:3D:2E,50:06:01:62:39:A0:3D:2E
10.128.205.73,Up,A,3,Online,YES,50:06:01:60:B9:A0:3D:2E,50:06:01:63:39:A0:3D:2E
10.128.205.73,Up,B,0,Online,YES,50:06:01:60:B9:A0:3D:2E,50:06:01:68:39:A0:3D:2E
10.128.205.73,Up,B,1,Online,YES,50:06:01:60:B9:A0:3D:2E,50:06:01:69:39:A0:3D:2E
10.128.205.73,Up,B,2,Online,YES,50:06:01:60:B9:A0:3D:2E,50:06:01:6A:39:A0:3D:2E
10.128.205.73,Up,B,3,Online,YES,50:06:01:60:B9:A0:3D:2E,50:06:01:6B:39:A0:3D:2E
10.128.205.99,Up,B,11,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:6B:3B:24:0C:83
10.128.205.99,Up,B,10,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:6A:3B:24:0C:83
10.128.205.99,Up,B,0,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:68:3B:20:0C:83
10.128.205.99,Up,B,9,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:69:3B:24:0C:83
10.128.205.99,Up,B,1,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:69:3B:20:0C:83
10.128.205.99,Up,B,8,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:68:3B:24:0C:83
10.128.205.99,Up,B,7,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:6F:3B:20:0C:83
10.128.205.99,Up,B,6,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:6E:3B:20:0C:83
10.128.205.99,Up,B,2,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:6A:3B:20:0C:83
10.128.205.99,Up,B,5,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:6D:3B:20:0C:83
10.128.205.99,Up,B,3,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:6B:3B:20:0C:83
10.128.205.99,Up,B,4,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:6C:3B:20:0C:83
10.128.205.99,Up,A,11,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:63:3B:24:0C:83
