VM name,status,Date Created,OS,memGB,diskGB,IP,vApp name,vApp status,Application,Application Owner,Owner Email,OrgVDC,Organization,VM description,vApp description
Comm-dev12-db1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,285,10.127.239.138,Communities-DB_dev12,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
comm-dev12-db1-old,PoweredOff,,Microsoft Windows Server 2008 (64-bit),8,280,10.127.239.109,Communities-DB_dev12,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
Comm-dev13-db1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,285,10.127.239.22,Communities-DB_DEV13,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
comm-dev14-db1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,280,10.127.239.60,Communities-DB_dev14,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
comm-dev14-db-1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,286,10.127.239.27,comm-dev14-db-1,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
comm-dev15-db1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,285,10.127.239.35,Communities-DB_DEV15,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
comm-dev16-act-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),6,91,10.127.242.113,comm-dev16,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev16-app-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),9,99,10.127.242.108,comm-dev16,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev16-app-2,PoweredOn,,CentOS 4/5/6/7 (64-bit),9,99,10.127.242.109,comm-dev16,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev16-cch-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),6,53,10.127.242.115,comm-dev16,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev16-db1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,285,10.127.239.36,comm-dev16-db1,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
comm-dev16-db1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,285,10.127.239.84,Communities-DB_DEV16,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
comm-dev16-psql,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,85,10.127.242.124,comm-dev16,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev16-scrh11,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,85,10.127.242.114,comm-dev16,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev45-db1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,285,10.127.239.117,comm-dev45-db1,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
comm-dev-act11,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,75,10.127.242.13,comm-dev-app1,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev-app1,PoweredOn,,Other Linux (64-bit),5,86,10.127.241.65,comm-dev-app1,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev-app11,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,175,10.127.242.5,comm-dev-app1,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev-app12,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,175,10.127.242.6,comm-dev-app1,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev-cch,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,75,10.127.242.14,comm-dev-app1,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev-psql,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,238,10.127.242.12,comm-dev-app1,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"CentOS-5.9-Postgres-Small",""
comm-dev-scrh,PoweredOn,,CentOS 4/5/6/7 (64-bit),2,73,10.127.242.15,comm-dev-app1,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-dev-sql,PoweredOn,,CentOS 4/5/6/7 (64-bit),8,128,10.127.242.7,comm-dev-app1,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
COMM-DEV-SQL-1,PoweredOn,,Microsoft Windows Server 2012 (64-bit),4,615,10.127.239.127,comm-dev-sql-1,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"","HN#TASK0048182, As part of Jive 8.0 Upgrade project"
comm-qa-act11,PoweredOn,,CentOS 4/5/6/7 (64-bit),6,91,10.127.242.73,comm-qai,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-qa-app11,PoweredOn,,CentOS 4/5/6/7 (64-bit),9,90,10.127.242.74,comm-qai,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-qa-app12,PoweredOn,,CentOS 4/5/6/7 (64-bit),9,90,10.127.242.75,comm-qai,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-qa-cch11,PoweredOn,,CentOS 4/5/6/7 (64-bit),9,90,10.127.242.76,comm-qai,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-qa-psql,PoweredOn,,CentOS 4/5/6/7 (64-bit),6,243,10.127.242.72,comm-dev-app1,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"CentOS-5.9-Postgres-Small",""
comm-qa-srh11,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,85,10.127.242.77,comm-qai,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
comm-test11-db1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,285,10.127.239.19,Communities-DB_TEST11,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
comm-test12-db1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,285,10.127.239.48,Communities-DB_test12,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
