ip,port,name
10.113.160.125,8221,s2-prod-gsseform-pool
10.113.160.127,8221,s2-prod-gsseform-pool
10.113.163.3,443,view-ssl-pool
10.113.163.4,443,view-ssl-pool
10.113.61.55,80,obie-prod-ksfr-pool
10.113.61.72,80,obie-prod-ksfr-pool
10.113.161.116,8080,changepoint-8080-pool
10.113.161.117,8080,changepoint-8080-pool
10.113.60.21,80,vam-prod-lamp-pool-2
10.113.60.22,80,vam-prod-lamp-pool-2
10.113.61.157,443,zimbra-prod-license-ssl-pool
10.113.61.158,443,zimbra-prod-license-ssl-pool
10.113.60.147,3306,wwwapps-prod-dbslave-pool-1
10.113.161.24,8443,s2-prod-catsso-pool
10.113.161.25,8443,s2-prod-catsso-pool
10.113.160.173,465,zimbra-prod-mta-465-pool
10.113.160.174,465,zimbra-prod-mta-465-pool
10.113.160.227,465,zimbra-prod-mta-465-pool
10.113.163.63,465,zimbra-prod-mta-465-pool
10.113.163.64,465,zimbra-prod-mta-465-pool
10.113.163.65,465,zimbra-prod-mta-465-pool
10.113.61.157,3306,zimbra-prod-license-3306-pool
10.113.61.158,3306,zimbra-prod-license-3306-pool
10.113.160.117,8080,knova-prod-kcc-pool
10.113.160.118,8080,knova-prod-kcc-pool
10.113.160.119,8080,knova-prod-kcc-pool
10.113.160.25,22,scripts-ssh-pool
10.113.160.26,22,scripts-ssh-pool
10.113.160.27,22,scripts-ssh-pool
10.113.160.83,22,scripts-ssh-pool
10.113.160.93,22,scripts-ssh-pool
10.113.160.94,22,scripts-ssh-pool
10.113.60.163,7003,prod-utiln-pool
10.113.60.164,7003,prod-utiln-pool
10.113.161.144,80,vmsearch-pool
10.113.161.145,80,vmsearch-pool
10.113.161.146,80,vmsearch-pool
10.113.60.157,3306,vam-prod-img-mgr-mysql-pool
10.113.60.158,3306,vam-prod-img-mgr-mysql-pool
10.113.60.150,8080,vam-prod-img-mgr-pool
10.113.60.151,8080,vam-prod-img-mgr-pool
10.113.60.154,8180,vam-prod-img-tfr-pool
10.113.60.155,8180,vam-prod-img-tfr-pool
10.113.61.180,80,obie-prod-bu-pool
10.113.61.181,80,obie-prod-bu-pool
10.113.61.206,80,wwwapps-prod-web-pool-1-i
10.113.61.207,80,wwwapps-prod-web-pool-1-i
10.113.61.208,80,wwwapps-prod-web-pool-1-i
10.113.61.209,80,wwwapps-prod-web-pool-1-i
10.113.60.207,7005,prod-patm-pool
10.113.60.208,7005,prod-patm-pool
10.113.60.209,7005,prod-patm-pool
10.113.160.72,80,poet-prod-pool
10.113.161.150,80,poet-prod-pool
10.113.60.244,80,obie-prod-ksmk-pool
10.113.60.245,80,obie-prod-ksmk-pool
10.113.61.41,80,prodsapbpc-pool
10.113.61.42,80,prodsapbpc-pool
10.113.160.50,80,vmdash-pool
10.113.160.52,80,vmdash-pool
10.113.160.58,80,vmdash-pool
10.113.160.194,7071,zimbra-admin-console
10.113.160.195,7071,zimbra-admin-console
10.113.160.196,7071,zimbra-admin-console
10.113.160.201,7071,zimbra-admin-console
10.113.160.202,7071,zimbra-admin-console
10.113.160.203,7071,zimbra-admin-console
10.113.160.206,7071,zimbra-admin-console
10.113.160.220,7071,zimbra-admin-console
10.113.160.76,9704,pri-http-pool
