name,ip,port,f5cluster_name
prod-Upgrade-vip,10.113.76.101,7035,sc9-tier1-prod-int-1
ucmprodtril-vip,10.113.76.179,8888,sc9-tier1-prod-int-1
vam-prod-mysql-vip-1,10.113.76.133,3306,sc9-tier1-prod-int-1
prod-s3p3-vip,10.113.76.120,7005,sc9-tier1-prod-int-1
flexprodwebsvc-vip,10.113.76.103,80,sc9-tier1-prod-int-1
ucmprod-vip,10.113.76.188,7780,sc9-tier1-prod-int-1
drprodwebsvc-vip,10.113.76.104,7001,sc9-tier1-prod-int-1
s2-prod-websvc1-vip.vmware.com,10.113.76.242,8181,sc9-tier1-prod-int-1
prod-Download-vip,10.113.76.95,7013,sc9-tier1-prod-int-1
s2-prod-tcs4-vip.vmware.com,10.113.76.207,8411,sc9-tier1-prod-int-1
s2-prod-support-vip.vmware.com,10.113.76.245,8051,sc9-tier1-prod-int-1
oraclereport-vip,10.113.76.177,80,sc9-tier1-prod-int-1
prodsoa-7777-vip,10.113.76.61,7777,sc9-tier1-prod-int-1
s2-prod-util-vip.vmware.com,10.113.76.244,8011,sc9-tier1-prod-int-1
s2-prod-offpm-8021-vip,10.113.76.46,8021,sc9-tier1-prod-int-1
s2-prod-tcs6-vip.vmware.com,10.113.76.212,8611,sc9-tier1-prod-int-1
prod-betan-vip,10.113.76.130,7003,sc9-tier1-prod-int-1
prod-Eval-vip,10.113.76.96,7027,sc9-tier1-prod-int-1
s2-prod-tcs7-vip.vmware.com,10.113.76.222,8711,sc9-tier1-prod-int-1
s2-prod-patm-8031-vip,10.113.76.121,8031,sc9-tier1-prod-int-1
s2-prod-patmtest-8041-vip,10.113.76.122,8041,sc9-tier1-prod-int-1
s2-prod-admn-vip.vmware.com,10.113.76.243,8001,sc9-tier1-prod-int-1
s2-prod-wcm-vip.vmware.com,10.113.76.155,8251,sc9-tier1-prod-int-1
s2-prod-accessws-vip.vmware.com,10.113.76.157,8231,sc9-tier1-prod-int-1
prodidm-vip,10.113.76.62,7780,sc9-tier1-prod-int-1
s2-prod-tcs1-vip.vmware.com,10.113.76.202,8111,sc9-tier1-prod-int-1
s2-prod-websvc2-vip.vmware.com,10.113.76.249,8281,sc9-tier1-prod-int-1
ora-prod-fmidm-ovd-6501-vip,10.113.76.205,389,sc9-tier1-prod-int-1
portal-prod-vpp-vip,10.113.76.158,7037,sc9-tier1-prod-int-1
s2-prod-onlinepm-8011-vip,10.113.76.48,8011,sc9-tier1-prod-int-1
prodosb-8011-vip,10.113.76.193,8011,sc9-tier1-prod-int-1
ora-prod-fmidm-ovd-7501-vip,10.113.76.205,636,sc9-tier1-prod-int-1
s2-prod-eval-vip,10.113.76.238,8151,sc9-tier1-prod-int-1
s2-prod-dload-vip,10.113.76.237,8131,sc9-tier1-prod-int-1
s2-prod-vmwsvc-vip,10.113.76.239,8181,sc9-tier1-prod-int-1
s2-prod-wcm-static-vip.vmware.com,10.113.76.51,8251,sc9-tier1-prod-int-1
s2-prod-sca-vip,10.113.76.236,8171,sc9-tier1-prod-int-1
s2-prod-tcs8-vip.vmware.com,10.113.76.229,8811,sc9-tier1-prod-int-1
s2-prod-tcs5-vip.vmware.com,10.113.76.208,8511,sc9-tier1-prod-int-1
prod-ISV-vip,10.113.76.97,7017,sc9-tier1-prod-int-1
s2-prod-tcs2-vip.vmware.com,10.113.76.203,8211,sc9-tier1-prod-int-1
prod-Utility-vip,10.113.76.102,7033,sc9-tier1-prod-int-1
oracleapps-prod-vip,10.113.76.45,80,sc9-tier1-prod-int-1
s2-prod-tcs3-vip.vmware.com,10.113.76.204,8311,sc9-tier1-prod-int-1
prod-Beta-vip,10.113.76.94,7025,sc9-tier1-prod-int-1
vam-prod-lamp-vip-1,10.113.76.131,80,sc9-tier1-prod-int-1
prodosb-8012-vip,10.113.76.193,8012,sc9-tier1-prod-int-1
s2-prod-wcm-vip-b.vmware.com,10.113.76.217,8251,sc9-tier1-prod-int-1
ucmprod-ssl-vip,10.113.76.188,4458,sc9-tier1-prod-int-1
FlexStagewebsvc-vip,10.113.68.113,80,sc9-tier1-stage-int-1
Portal-stage-flexlm-vip,10.113.68.103,80,sc9-tier1-stage-int-1
drstagewebsvc-vip,10.113.68.108,7001,sc9-tier1-stage-int-1
ora-stage-fmidm-389-ovd-vip,10.113.68.169,389,sc9-tier1-stage-int-1
ora-stage-fmidm-636-ovd-vip,10.113.68.169,636,sc9-tier1-stage-int-1
phnx-portal-stage-443-vip,10.113.68.92,443,sc9-tier1-stage-int-1
phnx-portal-stage-80-vip,10.113.68.92,80,sc9-tier1-stage-int-1
