name,lb_method,name,f5cluster_name
www-zimbra-prod-web-pool,LEAST,CONNECTION_MEMBER,www-zimbra-prod-ssl-vip,sc9-prod-stage-dmz-2
zimbra-prod-ext-proxy-pool,ROUND,ROBIN,zimbra-prod-ext-proxy-https-vip,sc9-prod-stage-dmz-2
zimbra-prod-ext-proxy-pool,ROUND,ROBIN,zimbra-prod-ext-proxy-vip,sc9-prod-stage-dmz-2
cbr-prod-proxy-pool,ROUND,ROBIN,cbr-prod-proxy-int-vip,sc9-prod-stage-dmz-2
cbr-prod-proxy-pool,ROUND,ROBIN,cbr-prod-proxy-ext-vip_ssl,sc9-prod-stage-dmz-2
cbr-prod-proxy-pool,ROUND,ROBIN,cbr-prod-proxy-ext-vip,sc9-prod-stage-dmz-2
cbr-prod-proxy-pool,ROUND,ROBIN,cbr-prod-proxy-int-vip_ssl,sc9-prod-stage-dmz-2
portal-stage-pool,LEAST,CONNECTION_MEMBER,portal-stage-ext-ssl-vip,sc9-prod-stage-dmz-2
knova-stg-kb-pool,ROUND,ROBIN,knova-stg-kb-vip,sc9-prod-stage-dmz-2
cbr-stage-proxy-pool,ROUND,ROBIN,cbr-stage-proxy-ext-vip_ssl,sc9-prod-stage-dmz-2
cbr-stage-proxy-pool,ROUND,ROBIN,cbr-stage-proxy-int-vip,sc9-prod-stage-dmz-2
cbr-stage-proxy-pool,ROUND,ROBIN,cbr-stage-proxy-int-vip_ssl,sc9-prod-stage-dmz-2
portal-stage-pool,LEAST,CONNECTION_MEMBER,portal-stage-ext-vip,sc9-prod-stage-dmz-2
gallery-zimbra-prod-pool,LEAST,CONNECTION_MEMBER,gallery-zimbra-prod-ssl-vip,sc9-prod-stage-dmz-2
gallery-zimbra-prod-pool,LEAST,CONNECTION_MEMBER,gallery-zimbra-prod-vip,sc9-prod-stage-dmz-2
cbr-stage-proxy-pool,ROUND,ROBIN,cbr-stage-proxy-ext-vip,sc9-prod-stage-dmz-2
portal-stage-pool,LEAST,CONNECTION_MEMBER,portal-stage-int-ssl-vip,sc9-prod-stage-dmz-2
thinapp-qr-pool-1,ROUND,ROBIN,thinapp-qr-vip-1,sc9-prod-stage-dmz-2
portal-stage-pool,LEAST,CONNECTION_MEMBER,portal-stage-int-vip,sc9-prod-stage-dmz-2
askvmware-prod-pool,ROUND,ROBIN,askvmware-prod-ssl-vip,sc9-prod-stage-dmz-2
askvmware-prod-pool,ROUND,ROBIN,askvmware-prod-vip,sc9-prod-stage-dmz-2
mvp-support-pool,ROUND,ROBIN,mvp-support-vip-1,sc9-prod-stage-dmz-2
archive-outbound-pool,LEAST,CONNECTION_MEMBER,archive-outbound-lb.vmware.com,sc9-prod-stage-dmz-2
radio-ext-pool,ROUND,ROBIN,radio-ext-vip,sc9-prod-stage-dmz-2
gemstone-http-pool,ROUND,ROBIN,gemstone-http-vip,sc9-prod-stage-dmz-2
gemstone-ssl-pool,ROUND,ROBIN,gemstone-ssl-vip,sc9-prod-stage-dmz-2
radio-ext-pool,ROUND,ROBIN,radio-ext-vip-ssl,sc9-prod-stage-dmz-2
virstosend-https-pool,ROUND,ROBIN,virstosend.vmware.com_ssl,sc9-prod-stage-dmz-2
comm-prod-ext-pool,ROUND,ROBIN,comm-prod-ext-vip-http,sc9-prod-stage-dmz-2
comm-prod-ext-pool,ROUND,ROBIN,comm-prod-ext-vip-ssl,sc9-prod-stage-dmz-2
s2-prod-hyperic-web-pool,ROUND,ROBIN,s2-prod-hyperic-http-vip,sc9-prod-stage-dmz-2
radio-ext-pool-ssl,ROUND,ROBIN,radio-ext-vip-ssl,sc9-prod-stage-dmz-2
s2-prod-hyperic-web-pool,ROUND,ROBIN,s2-prod-hyperic-ssl-vip,sc9-prod-stage-dmz-2
comm-prod-int-pool,ROUND,ROBIN,comm-prod-int-vip-ssl,sc9-prod-stage-dmz-2
comm-prod-int-pool,ROUND,ROBIN,comm-prod-int-vip-http,sc9-prod-stage-dmz-2
virstosend-sftp-pool,ROUND,ROBIN,virstosend-ext-sftp-vip,sc9-prod-stage-dmz-2
ec-mol-pool,ROUND,ROBIN,ec-mol-vip,sc9-prod-stage-dmz-2
virstosend-sftp-pool,ROUND,ROBIN,virstosend-int-sftp-vip,sc9-prod-stage-dmz-2
virstosend-https-pool,ROUND,ROBIN,virstosend-ext.vmware.com_ssl,sc9-prod-stage-dmz-2
virstosend-https-pool,ROUND,ROBIN,virstosend-int.vmware.com_ssl,sc9-prod-stage-dmz-2
webhost-prod-web-ftp-pool-1,ROUND,ROBIN,webhost-prod-web-ftp-vip-1,sc9-prod-stage-dmz-2
webhost-prod-web-ssl-pool-1,ROUND,ROBIN,webhost-prod-web-ssl-vip-1,sc9-prod-stage-dmz-2
ueip-pool,ROUND,ROBIN,ueip-vip,sc9-prod-stage-dmz-2
webhost-prod-web-pool-1,ROUND,ROBIN,webhost-prod-web-vip-1,sc9-prod-stage-dmz-2
vault-stage-pool,ROUND,ROBIN,vault-stage.vmware.com,sc9-prod-stage-dmz-2
vault-stage-pool,ROUND,ROBIN,vault-stage-ssl,sc9-prod-stage-dmz-2
vault-prod-pool,ROUND,ROBIN,vault-prod.vmware.com,sc9-prod-stage-dmz-2
eclipse-prod-techpubs-pool,ROUND,ROBIN,eclipse-prod-techpubs-vip-1,sc9-prod-stage-dmz-2
eclipse-prod-techpubs-pool,ROUND,ROBIN,eclipse-prod-techpubs-ssl-vip,sc9-prod-stage-dmz-2
eclipse-prod-techpubs-pool,ROUND,ROBIN,eclipse-prod-techpubs-8080-vip,sc9-prod-stage-dmz-2
vault-prod-pool,ROUND,ROBIN,vault.vmware.com-SSL,sc9-prod-stage-dmz-2
web-prod-int-vip-pool,ROUND,ROBIN,web-prod-int-vip-vault-ssl,sc9-prod-stage-dmz-2
web-prod-int-vip-pool,ROUND,ROBIN,web-prod-int-vip-vault,sc9-prod-stage-dmz-2
wwwa-stage-web-pool-1b,LEAST,CONNECTION_MEMBER,wwwa-stage-web-vip-1b,sc9-prod-stage-dmz-2
partnerweb-prod-cva-pool,LEAST,CONNECTION_MEMBER,partnerweb-prod-cva-ssl-vip,sc9-prod-stage-dmz-2
portal-stage-pool,LEAST,CONNECTION_MEMBER,comm-stage-layer1-nonssl-vip,sc9-prod-stage-dmz-2
portal-stage-pool,LEAST,CONNECTION_MEMBER,comm-stage-layer1-ssl-vip,sc9-prod-stage-dmz-2
esg-stage-ext-pool-8443,ROUND,ROBIN,esg-stage-ext-vip.vmware.com-8443,sc9-prod-stage-dmz-2
esg-stage-ext-pool-443,ROUND,ROBIN,esg-stage-ext-vip.vmware.com-443,sc9-prod-stage-dmz-2
esg-prod-ext-pool-8443,ROUND,ROBIN,esg-prod-ext-vip.vmware.com-8443,sc9-prod-stage-dmz-2
esg-prod-ext-pool-443,ROUND,ROBIN,esg-prod-ext-vip.vmware.com-443,sc9-prod-stage-dmz-2
sfdc-stage-apache-pool-1-ssl,ROUND,ROBIN,sfdc-stage-apache-vip-1,sc9-prod-stage-dmz-2
sfdc-prod-apache-pool-ssl,ROUND,ROBIN,sfdc-prod-apache-ssl-vip,sc9-prod-stage-dmz-2
sfdc-stage-apache-443,ROUND,ROBIN,sfdc-stage-apache-vip-1,sc9-prod-stage-dmz-2
awmag.vmware.com-2020-pool,ROUND,ROBIN,awmag.vmware.com-2020-vip,sc9-prod-stage-dmz-2
awmag.vmware.com-2010-pool,ROUND,ROBIN,awmag.vmware.com-2010-vip,sc9-prod-stage-dmz-2
