name,ip,port,f5_cname,node_ip,node_port,pool_name,lb_method
/onecloud/s2-dev13-lr3-vip,10.148.233.20,8001,ltm-onecloud-1,10.148.52.26,8001,/onecloud/s2-dev13-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev13-lr3-vip,10.148.233.20,8001,ltm-onecloud-1,10.148.52.26,8011,/onecloud/s2-dev13-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev13-lr4-vip,10.148.232.101,8001,ltm-onecloud-1,10.148.52.44,8001,/onecloud/s2-dev13-lr4-vip-pool,ROUND,ROBIN
/onecloud/s2-dev13-lr5-vip,10.148.232.122,8011,ltm-onecloud-1,10.148.52.44,8011,/onecloud/s2-dev13-lr5-vip-pool,ROUND,ROBIN
/onecloud/s2-dev13-lr5-vip,10.148.232.122,8011,ltm-onecloud-1,10.148.52.46,8011,/onecloud/s2-dev13-lr5-vip-pool,ROUND,ROBIN
/onecloud/s2-dev14-lr1-vip,10.148.233.78,8001,ltm-onecloud-1,10.148.21.48,8001,/onecloud/s2-dev14-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev14-lr1-vip,10.148.233.78,8001,ltm-onecloud-1,10.148.21.49,8001,/onecloud/s2-dev14-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev14-lr2-vip,10.148.233.79,8011,ltm-onecloud-1,10.148.21.48,8011,/onecloud/s2-dev14-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev14-lr2-vip,10.148.233.79,8011,ltm-onecloud-1,10.148.21.49,8011,/onecloud/s2-dev14-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev14-lr3-vip,10.148.233.80,8001,ltm-onecloud-1,10.148.21.47,8001,/onecloud/s2-dev14-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev14-lr3-vip,10.148.233.80,8001,ltm-onecloud-1,10.148.21.47,8011,/onecloud/s2-dev14-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev14-lr4-vip,10.148.233.81,8001,ltm-onecloud-1,10.148.21.50,8001,/onecloud/s2-dev14-lr4-vip-pool,ROUND,ROBIN
/onecloud/s2-dev14-lr4-vip,10.148.233.81,8001,ltm-onecloud-1,10.148.21.51,8001,/onecloud/s2-dev14-lr4-vip-pool,ROUND,ROBIN
/onecloud/s2-dev14-lr5-vip,10.148.233.82,8011,ltm-onecloud-1,10.148.21.50,8011,/onecloud/s2-dev14-lr5-vip-pool,ROUND,ROBIN
/onecloud/s2-dev14-lr5-vip,10.148.233.82,8011,ltm-onecloud-1,10.148.21.51,8011,/onecloud/s2-dev14-lr5-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-lr1-vip,10.148.232.176,8001,ltm-onecloud-1,10.148.68.47,8001,/onecloud/s2-dev15-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-lr1-vip,10.148.232.176,8001,ltm-onecloud-1,10.148.68.48,8001,/onecloud/s2-dev15-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-lr2-vip,10.148.232.177,8011,ltm-onecloud-1,10.148.68.47,8011,/onecloud/s2-dev15-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-lr2-vip,10.148.232.177,8011,ltm-onecloud-1,10.148.68.48,8011,/onecloud/s2-dev15-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-lr3-vip,10.148.232.178,8001,ltm-onecloud-1,10.148.68.46,8001,/onecloud/s2-dev15-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-lr3-vip,10.148.232.178,8001,ltm-onecloud-1,10.148.68.46,8011,/onecloud/s2-dev15-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-lr4-vip,10.148.232.180,8001,ltm-onecloud-1,10.148.68.49,8001,/onecloud/s2-dev15-lr4-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-lr4-vip,10.148.232.180,8001,ltm-onecloud-1,10.148.68.50,8001,/onecloud/s2-dev15-lr4-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-lr5-vip,10.148.232.181,8011,ltm-onecloud-1,10.148.68.49,8011,/onecloud/s2-dev15-lr5-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-lr5-vip,10.148.232.181,8011,ltm-onecloud-1,10.148.68.50,8011,/onecloud/s2-dev15-lr5-vip-pool,ROUND,ROBIN
/onecloud/s2-dev15-solrs-vip,10.148.232.127,80,ltm-onecloud-1,10.148.68.58,8080,/onecloud/s2-dev15-solrs-pool,ROUND,ROBIN
/onecloud/s2-dev15-solrs-vip,10.148.232.127,80,ltm-onecloud-1,10.148.68.59,8080,/onecloud/s2-dev15-solrs-pool,ROUND,ROBIN
/onecloud/s2-dev51-lr1-vip,10.148.232.255,8001,ltm-onecloud-1,10.148.70.3,8001,/onecloud/s2-dev51-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev51-lr1-vip,10.148.232.255,8001,ltm-onecloud-1,10.148.70.4,8001,/onecloud/s2-dev51-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev51-lr2-vip,10.148.233.0,8011,ltm-onecloud-1,10.148.70.3,8011,/onecloud/s2-dev51-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev51-lr2-vip,10.148.233.0,8011,ltm-onecloud-1,10.148.70.4,8011,/onecloud/s2-dev51-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev51-lr3-vip,10.148.233.1,8001,ltm-onecloud-1,10.148.70.2,8001,/onecloud/s2-dev51-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev51-lr3-vip,10.148.233.1,8001,ltm-onecloud-1,10.148.70.2,8011,/onecloud/s2-dev51-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev52-lr1-vip,10.148.233.2,8001,ltm-onecloud-1,10.148.68.55,8001,/onecloud/s2-dev52-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev52-lr1-vip,10.148.233.2,8001,ltm-onecloud-1,10.148.68.56,8001,/onecloud/s2-dev52-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev52-lr2-vip,10.148.233.3,8011,ltm-onecloud-1,10.148.68.55,8011,/onecloud/s2-dev52-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev52-lr2-vip,10.148.233.3,8011,ltm-onecloud-1,10.148.68.56,8011,/onecloud/s2-dev52-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev52-lr3-vip,10.148.233.4,8001,ltm-onecloud-1,10.148.68.54,8001,/onecloud/s2-dev52-lr3-vip-pool,ROUND,ROBIN
