vendor	device	model	versiontype	version
avamar	iweb-prod-lamp-2.vmware.com	avamar client	version	4.1.101-340
avamar	iweb-prod-mysql-1.vmware.com	avamar client	version	4.1.101-340
avamar	iweb-prod-proxy-1.vmware.com	avamar client	version	4.1.101-340
avamar	iwov-dev-mb-db1.vmware.com	avamar client	version	6.0.100-592
avamar	iwov-dev-teamsite-1.vmware.com	avamar client	version	6.0.100-592
avamar	iwov-prod-db-1.vmware.com	avamar client	version	4.1.100-1470
avamar	iwov-prod-mb1.vmware.com	avamar client	version	5.0.105-169
avamar	iwov-prod-mbdb1.vmware.com	avamar client	version	5.0.105-169
avamar	iwov-prod-preview-1.vmware.com	avamar client	version	5.0.106-28
avamar	iwov-prod-preview-1.vmware.com	avamar client	version	5.0.106-28
avamar	iwov-prod-search-1.vmware.com	avamar client	version	4.1.100-1470
avamar	iwov-prod-search-1.vmware.com	avamar client	version	5.0.106-28
avamar	iwov-prod-teamsite-1.vmware.com	avamar client	version	4.1.100-1470
avamar	iwov-prod-teamsite-1.vmware.com	avamar client	version	5.0.106-28
avamar	iwov-prod-teamsite-1.vmware.com	avamar client	version	5.0.106-28
avamar	iwov-qa-deploy-1.vmware.com2011.12.14.16.13.01	avamar client	version	4.1.101-340
avamar	iwov-qa-livesite-1.vmware.com2011.12.14.16.13.26	avamar client	version	5.0.106-28
avamar	iwov-stage-livesite-1.vmware.com2011.12.14.16.17.40	avamar client	version	4.1.101-340
avamar	iwov-stage-livesite-2.vmware.com2011.12.14.16.18.06	avamar client	version	4.1.101-340
avamar	iwov-stage-livesite-db-1.vmware.com2011.12.14.16.18.53	avamar client	version	4.1.101-340
avamar	iwov-stage-teamsite-1.vmware.com	avamar client	version	5.0.106-28
avamar	iwov-stg-mbdb1.vmware.com	avamar client	version	6.0.100-592
avamar	iwov-test-db-1.vmware.com2011.12.14.16.14.52	avamar client	version	4.1.100-1470
avamar	iwov-test-deploy-1.vmware.com2011.12.14.16.11.54	avamar client	version	5.0.106-28
avamar	iwov-test-search-1.vmware.com2011.12.14.16.10.33	avamar client	version	4.1.100-1470
avamar	iwov-test-teamsite-1.vmware.com2011.12.14.16.11.23	avamar client	version	4.1.100-1470
avamar	jabber-prod-1.vmware.com	avamar client	version	5.0.105-169
avamar	jabber-prod-1.vmware.com2011.02.04.09.46.54	avamar client	version	5.0.105-169
avamar	jabber-prod-2.vmware.com	avamar client	version	5.0.105-169
avamar	jabber-prod-2.vmware.com2011.02.04.09.47.44	avamar client	version	5.0.105-169
avamar	jabber-prod-db-1.vmware.com	avamar client	version	6.0.100-592
avamar	jabber-prod-db-1.vmware.com2011.02.04.09.50.00	avamar client	version	5.0.105-169
avamar	jabber-prod-db-2.vmware.com	avamar client	version	5.0.105-169
avamar	jabber-prod-db-2.vmware.com2011.02.04.09.50.23	avamar client	version	5.0.105-169
avamar	jabber.vmware.com	avamar client	version	3.7.1-100
avamar	jackhammer.vmware.com	avamar client	version	4.1.101-340
avamar	jchan-e4300.vmware.com	avamar client	version	4.1.101-340
avamar	jive-vmworld-1.vmware.com	avamar client	version	3.7.1-100
avamar	jiveapp-prd10.vmware.com	avamar client	version	3.7.1-100
avamar	jiveapp-prd11.vmware.com	avamar client	version	3.7.1-100
