vendor	model	versiontype	version
f5	BIGIP LTM 6400	version	9.4.3
fortinet	Fortinet, Inc.RT	version	
fortinet	Fortinet, Inc.RT	version	12.2(55)SE4
foundry	FoundryBG	version	
hp	ProCurve Switch	version	
hp	ProLiant BL460c G1	biosversion	I15
hp	ProLiant BL460c G7	biosversion	I27
hp	ProLiant BL490c G7	biosversion	
hp	ProLiant BL490c G7	biosversion	I28
hp	ProLiant BL620c G7	biosversion	I25
hp	ProLiant BL680c G5	biosversion	I17
hp	ProLiant BL680c G7	biosversion	I25
hp	ProLiant BL685c G1	biosversion	A08
hp	ProLiant BL685c G6	biosversion	A17
hp	ProLiant BL685c G7	biosversion	A20
hp	ProLiant DL360 G7	biosversion	P68
hp	ProLiant DL365 G1	biosversion	A10
hp	ProLiant DL385 G2	biosversion	
hp	ProLiant DL585 G1	biosversion	A01
hp	ProLiant ML350 G6	biosversion	D22
juniper	J2300	version	8.2R1.7
juniper	J2300	version	8.3R3.2
juniper	J2300	version	8.4R2.4
juniper	J2320	version	8.4R1.13
juniper	J2320	version	8.4R2.4
juniper	J2320	version	9.3R4.4
juniper	J6350	version	
juniper	J6350	version	10.2R3.10
juniper	J6350	version	10.4R2.7
juniper	J6350	version	10.4R6.5
juniper	J6350	version	8.2R1.7
juniper	J6350	version	8.2R2.4
juniper	J6350	version	8.3R3.2
juniper	J6350	version	8.3R3.4
juniper	J6350	version	8.5R2.10
juniper	J6350	version	8.5R4.3
juniper	J6350	version	9.2R2.15
juniper	J6350	version	9.3R3.8
juniper	J6350	version	9.6R2.11
juniper	JuniperRT	version	
juniper	JuniperRT	version	10.0R3.10
juniper	M10i	version	11.4R1.14
juniper	M10i	version	8.2R2.4
juniper	M10i	version	8.5S5
juniper	M10i	version	9.2R2.15
juniper	M10i	version	9.5R1.8
juniper	M10i	version	9.6R3.8
juniper	SRX240	version	10.0R1.8
juniper	SRX240	version	10.0R3.10
juniper	SRX240	version	10.3R3.7
juniper	SRX240	version	10.4R4.5
juniper	SRX240	version	10.4R6.5
juniper	SRX240	version	10.4R7.5
juniper	SRX240	version	10.4R8.5
silverpeak	Silver Peak Systems, Inc.RT	version	
trapeze	RoamAbout Sw MXR2	version	
trapeze	TrapezeBG	version	
vmware		version	
vmware	ESX	version	3.5.0110268
vmware	ESX	version	3.5.070356
vmware	ESX	version	3.5.082663
vmware	ESX	version	4.0.0208167
vmware	ESX	version	4.0.0244038
vmware	ESX	version	4.1.0260247
vmware	ESX	version	4.1.0348481
vmware	ESXi	version	5.0.0469512
vmware	ESXi	version	5.0.0474610
vmware	ESXi	version	5.0.0504890
vmware	ESXi	version	5.0.0515841
vmware	vm	firmware version	
vmware	vm	firmware version	Unknown
vmware	vm	firmware version	v4
vmware	vm	firmware version	v7
vmware	vm	firmware version	v8
vmware	vm	tools version	()
vmware	vm	tools version	(toolsNotInstalled)
vmware	vm	tools version	(toolsNotRunning)
vmware	vm	tools version	0(toolsNotInstalled)
vmware	vm	tools version	2147483647(toolsNotRunning)
vmware	vm	tools version	2147483647(toolsOk)
vmware	vm	tools version	41412(toolsNotRunning)
vmware	vm	tools version	5184(toolsOld)
vmware	vm	tools version	6304(toolsNotRunning)
vmware	vm	tools version	6310(toolsOld)
vmware	vm	tools version	6313(toolsNotRunning)
vmware	vm	tools version	6313(toolsOld)
vmware	vm	tools version	6404(toolsOld)
vmware	vm	tools version	64607(toolsOk)
vmware	vm	tools version	7201(toolsNotRunning)
vmware	vm	tools version	7201(toolsOld)
vmware	vm	tools version	7202(toolsNotRunning)
vmware	vm	tools version	7202(toolsOld)
vmware	vm	tools version	7299(toolsNotRunning)
vmware	vm	tools version	7299(toolsOld)
vmware	vm	tools version	7300(toolsNotRunning)
vmware	vm	tools version	7300(toolsOld)
vmware	vm	tools version	7302(toolsNotRunning)
vmware	vm	tools version	7302(toolsOld)
vmware	vm	tools version	7303(toolsOld)
vmware	vm	tools version	7396(toolsOld)
vmware	vm	tools version	8192(toolsNotRunning)
vmware	vm	tools version	8193(toolsNotRunning)
vmware	vm	tools version	8193(toolsOld)
vmware	vm	tools version	8194(toolsNotRunning)
